species,name_change,Split_species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Pnoepyga pusilla,0,,Pnoepyga pusilla,Passeriformes,LC,No,Volant,12,9.9,Forest,Carnivore,Invertivore,24.91,,12.1,6.8,2.5,2.5,18.6,50,5,45.3,18.6,Not threatened
Podargus ocellatus,0,,Podargus ocellatus,Caprimulgiformes,LC,No,Volant,175.4,21.4,Forest,Carnivore,Invertivore,-6.71,,33,21.7,30.6,18.5,21.1,176.2,37.8,138.9,156.2,Not threatened
Podargus papuensis,0,,Podargus papuensis,Caprimulgiformes,LC,No,Volant,375.7,26.6,Woodland,Carnivore,Invertivore,-7.05,,51.2,32.5,41.4,27.6,31.8,289.6,78.1,215.6,267.4,Not threatened
Podargus strigoides,0,,Podargus strigoides,Caprimulgiformes,LC,No,Volant,308,27.5,Forest,Carnivore,Invertivore,-25.73,,42.6,22.1,29.3,20.6,28.4,228.8,63,165.8,172,Not threatened
Podica senegalensis,0,,Podica senegalensis,Gruiformes,LC,No,Volant,599,27.2,Wetland,Carnivore,Aquatic predator,-0.82,,44.6,20.6,5.3,8.1,40.9,186.2,50,134.8,125,Not threatened
Podiceps auritus,0,,Podiceps auritus,Podicipediformes,VU,No,Volant,453,42.2,Wetland,Carnivore,Aquatic predator,57.33,,30.2,15.4,4.7,7.1,42.9,137.8,57.2,78.3,33.2,Threatened
Podiceps cristatus,0,,Podiceps cristatus,Podicipediformes,LC,No,Volant,731,42.9,Wetland,Carnivore,Aquatic predator,44.79,,57.5,35.4,6.6,10.6,60.9,183.6,79,105.4,40.7,Not threatened
Podiceps gallardoi,0,,Podiceps gallardoi,Podicipediformes,CR,No,Volant,575,36.8,Wetland,Carnivore,Aquatic predator,-48.99,,23,12.9,5.8,6,46.5,141.4,52.9,88.6,31,Threatened
Podiceps grisegena,0,,Podiceps grisegena,Podicipediformes,LC,No,Volant,1023,40.9,Wetland,Carnivore,Aquatic predator,57.11,,48.1,27.3,6.2,10.2,54.4,167.1,66.8,96.4,32,Not threatened
Podiceps juninensis,0,,Podiceps juninensis,Podicipediformes,NT,No,Volant,320.7,34.4,Wetland,Carnivore,Aquatic predator,-18.35,,22.2,11.8,5.1,5.8,37.7,126.7,43.5,83.2,27.4,Not threatened
Podiceps major,0,,Podiceps major,Podicipediformes,LC,No,Volant,1646,41.7,Wetland,Carnivore,Aquatic predator,-36.95,,82,61.2,9.2,14.4,67.7,181.4,80,112,41.2,Not threatened
